"table","column"
"areas_master","LicenseeId"
"areas_master","Name"
"areas_master","IsQuarantine"
"areas_master","ExternalIdentifier"
"areas_master","IsDeleted"
"areas_master","CreatedBy"
"areas_master","CreatedDate"
"areas_master","UpdatedBy"
"areas_master","UpdatedDate"
"areas_master","AreaId"
"contacts_master","ContactId"
"contacts_master","LicenseeId"
"contacts_master","IntegratorId"
"contacts_master","FirstName"
"contacts_master","MiddleInitial"
"contacts_master","LastName"
"contacts_master","ExternalIdentifier"
"contacts_master","IsDeleted"
"contacts_master","CreatedBy"
"contacts_master","CreatedDate"
"contacts_master","UpdatedBy"
"contacts_master","UpdatedDate"
"contacts_master","IsAdmin"
"integrator_master","IntegratorId"
"integrator_master","Name"
"integrator_master","IsActive"
"integrator_master","IsDeleted"
"integrator_master","CreatedBy"
"integrator_master","CreatedDate"
"integrator_master","UpdatedBy"
"integrator_master","UpdatedDate"
"inventory_adjustment_master","InventoryAdjustmentId"
"inventory_adjustment_master","InventoryId"
"inventory_adjustment_master","InventoryAdjustmentReason"
"inventory_adjustment_master","AdjustmentDetail"
"inventory_adjustment_master","Quantity"
"inventory_adjustment_master","AdjustmentDate"
"inventory_adjustment_master","ExternalIdentifier"
"inventory_adjustment_master","IsDeleted"
"inventory_adjustment_master","CreatedBy"
"inventory_adjustment_master","CreatedDate"
"inventory_adjustment_master","UpdatedBy"
"inventory_adjustment_master","UpdatedDate"
"inventory_adjustment_master","...13"
"inventory_adjustment_master","...14"
"inventory_master","LicenseeId"
"inventory_master","InventoryId"
"inventory_master","StrainId"
"inventory_master","AreaId"
"inventory_master","ProductId"
"inventory_master","InventoryIdentifier"
"inventory_master","InitialQuantity"
"inventory_master","QuantityOnHand"
"inventory_master","TotalCost"
"inventory_master","IsMedical"
"inventory_master","ExternalIdentifier"
"inventory_master","IsDeleted"
"inventory_master","CreatedBy"
"inventory_master","CreatedDate"
"inventory_master","UpdatedBy"
"inventory_master","updatedDate"
"inventory_plant_transfer_master","InventoryPlantTransferID"
"inventory_plant_transfer_master","InventoryTransferId"
"inventory_plant_transfer_master","PlantTransferId"
"inventory_plant_transfer_master","FromLicenseeId"
